[1] Starting main script
[1] "Mon Jul 11 10:00:47 2016"
[1] Using model :  modelDoubleConvNN
[1] Ensuring data availability
[1] "Loading compressed data"
[1] Asking model modelDoubleConvNN to generate new predictions
[1] Model version : 2
[1] Segmenting features
[1] Computing predictions #2
[1] Starting to train model for keypoints : 
 [1]  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
[26] 26 27 28 29 30
[1] "Mon Jul 11 10:00:51 2016"
Start training with 1 devices
[1] Train-rmse=34.6875985253528
Start training with 1 devices
[1] Train-rmse=16.7976194183439
[2] Train-rmse=12.1121416823484
[3] Train-rmse=11.6985042588609
[4] Train-rmse=11.3638062547303
[5] Train-rmse=11.0773597224555
[6] Train-rmse=10.832509070331
[7] Train-rmse=10.6204463560113
[8] Train-rmse=10.4279544821485
[9] Train-rmse=10.249243181528
[10] Train-rmse=10.0809521121361
[11] Train-rmse=9.92175848172966
[12] Train-rmse=9.77045987679162
[13] Train-rmse=9.63218336456145
[14] Train-rmse=9.49735603125971
[15] Train-rmse=9.36954194247319
[16] Train-rmse=9.24029825373766
[17] Train-rmse=9.08496576557918
[18] Train-rmse=8.92135689228316
[19] Train-rmse=8.77512355193098
[20] Train-rmse=8.61996978356186
[21] Train-rmse=8.4372877070085
[22] Train-rmse=8.2729664723092
[23] Train-rmse=8.13475769257596
[24] Train-rmse=7.98506043874305
[25] Train-rmse=7.83576428704953
[26] Train-rmse=7.71338160727251
[27] Train-rmse=7.55644288604254
[28] Train-rmse=7.33088529570558
[29] Train-rmse=7.12710390652449
[30] Train-rmse=6.96821055683912
[31] Train-rmse=6.80999803458315
[32] Train-rmse=6.65002366780016
[33] Train-rmse=6.46905976342131
[34] Train-rmse=6.29205051482631
[35] Train-rmse=6.13206479122596
[36] Train-rmse=5.98185883246986
[37] Train-rmse=5.86127937367304
[38] Train-rmse=5.78578611616681
[39] Train-rmse=5.73047443234646
[40] Train-rmse=5.69082250287067
[41] Train-rmse=5.63256915275607
[42] Train-rmse=5.56881621592632
[43] Train-rmse=5.50583361234045
[44] Train-rmse=5.47409064886419
[45] Train-rmse=5.37037058864946
[46] Train-rmse=5.29986584835211
[47] Train-rmse=5.10709495006999
[48] Train-rmse=4.82400429563408
[49] Train-rmse=4.60304897209894
[50] Train-rmse=4.47634434600625
[51] Train-rmse=4.36870074657462
[52] Train-rmse=4.28483655157882
[53] Train-rmse=4.22435617407263
[54] Train-rmse=4.16992798307354
[55] Train-rmse=4.12153400899204
[56] Train-rmse=4.05340511210185
[57] Train-rmse=3.99366998834315
[58] Train-rmse=3.93006262306163
[59] Train-rmse=3.86810591738892
[60] Train-rmse=3.80499988420936
[61] Train-rmse=3.76409490004891
[62] Train-rmse=3.72151208248963
[63] Train-rmse=3.67583531097917
[64] Train-rmse=3.6427339532939
[65] Train-rmse=3.60884687957361
[66] Train-rmse=3.57300073288553
[67] Train-rmse=3.54406600718692
[68] Train-rmse=3.51533606191337
[69] Train-rmse=3.49714958931739
[70] Train-rmse=3.47277376803651
[71] Train-rmse=3.44675386135057
[72] Train-rmse=3.42423430555733
[73] Train-rmse=3.40929895200081
[74] Train-rmse=3.39924961333409
[75] Train-rmse=3.38470649021159
[76] Train-rmse=3.37416578937982
[77] Train-rmse=3.36552580385995
[78] Train-rmse=3.35297551940934
[79] Train-rmse=3.3530405813885
[80] Train-rmse=3.35586431409766
[81] Train-rmse=3.37523731784972
[82] Train-rmse=3.38326676310027
[83] Train-rmse=3.39707320792128
[84] Train-rmse=3.47851557099224
[85] Train-rmse=3.58642746395344
[86] Train-rmse=3.56407642612936
[87] Train-rmse=3.71414826264911
[88] Train-rmse=4.60938262111688
[89] Train-rmse=3.86342589596163
[90] Train-rmse=3.71514275756642
[91] Train-rmse=3.60487533291169
[92] Train-rmse=3.76054902804339
[93] Train-rmse=4.32882514866283
[94] Train-rmse=4.64578329474873
[95] Train-rmse=4.52358179572382
[96] Train-rmse=4.31228562077035
[97] Train-rmse=4.23763619818259
[98] Train-rmse=4.37802701639115
[99] Train-rmse=4.21376743697523
[100] Train-rmse=4.15875230562959
[101] Train-rmse=4.05810034970101
[102] Train-rmse=4.1630358222674
[103] Train-rmse=4.46960214574229
[104] Train-rmse=4.66865787940772
[105] Train-rmse=4.12131469686891
[106] Train-rmse=4.47455044032152
[107] Train-rmse=4.51118523036852
[108] Train-rmse=4.31383586709934
[109] Train-rmse=4.34395137164538
[110] Train-rmse=4.57865912929203
[111] Train-rmse=4.35439847973675
[112] Train-rmse=4.81677916795256
[113] Train-rmse=4.75476902538944
[114] Train-rmse=4.67615064062408
[115] Train-rmse=4.5781929681176
[116] Train-rmse=5.01356664758538
[117] Train-rmse=4.56658954217055
[118] Train-rmse=4.6466775164016
[119] Train-rmse=4.51762337293242
[120] Train-rmse=4.34869425580497
[121] Train-rmse=4.23841764474538
[122] Train-rmse=4.02418837346175
[123] Train-rmse=3.89793653641812
[124] Train-rmse=3.90022892671451
[125] Train-rmse=3.83602574780524
[126] Train-rmse=3.73955902311327
[127] Train-rmse=3.73220996073955
[128] Train-rmse=3.71281430671142
[129] Train-rmse=3.86447384185229
[130] Train-rmse=3.95534333817873
[131] Train-rmse=3.89319206129303
[132] Train-rmse=3.97318469910295
[133] Train-rmse=4.45472018609851
[134] Train-rmse=3.99055196194494
[135] Train-rmse=3.89455076205904
[136] Train-rmse=4.40837078550972
[137] Train-rmse=3.87848103213971
[138] Train-rmse=3.90142315020605
[139] Train-rmse=4.20898515473562
[140] Train-rmse=3.66012316396797
[141] Train-rmse=3.82502590316406
[142] Train-rmse=4.10711715231841
[143] Train-rmse=3.95745476387728
[144] Train-rmse=3.92539158850633
[145] Train-rmse=3.61560366905296
[146] Train-rmse=3.93802703544136
[147] Train-rmse=3.80462253342371
[148] Train-rmse=3.72664848488829
[1] Starting main script
[1] "Tue Jul 12 10:44:12 2016"
[1] Using model :  modelDoubleConvNN ,lr :  3e-05 , round :  500 , eval :  FALSE
[1] Ensuring data availability
[1] "Loading compressed data"
[1] Asking model modelDoubleConvNN to generate new predictions
[1] Model version : 2
[1] Segmenting features
[1] Computing predictions #2
[1] "Loading saved model #2 for modelDoubleConvNN, version 2"
[1] Computing predictions #1
[1] Starting to train model for keypoints : 
[1]  1  2  3  4 21 22 29 30
[1] "Tue Jul 12 10:44:52 2016"
Start training with 1 devices
[1] Starting main script
[1] "Tue Jul 12 10:54:53 2016"
[1] Using model :  modelDoubleConvNN ,lr :  3e-05 , round :  500 , eval :  FALSE
[1] Ensuring data availability
[1] "Loading compressed data"
[1] Asking model modelDoubleConvNN to generate new predictions
[1] Model version : 2
[1] Segmenting features
[1] Computing predictions #2
[1] "Loading saved model #2 for modelDoubleConvNN, version 2"
[1] Computing predictions #1
[1] Starting to train model for keypoints : 
[1]  1  2  3  4 21 22 29 30
[1] "Tue Jul 12 10:55:42 2016"
Start training with 1 devices
[1] Train-rmse=19.3353176854376
[2] Train-rmse=12.4623542510491
[3] Train-rmse=12.2853278368235
[4] Train-rmse=12.1254624067474
[5] Train-rmse=11.9787594853158
[6] Train-rmse=11.8425403438819
[7] Train-rmse=11.7158010021205
[8] Train-rmse=11.5987127266765
[9] Train-rmse=11.4895992183214
[10] Train-rmse=11.3888088148531
[11] Train-rmse=11.2979080719812
[12] Train-rmse=11.2141867107301
[13] Train-rmse=11.1378461296785
[14] Train-rmse=11.0662762618768
[15] Train-rmse=10.9991087895768
[16] Train-rmse=10.9355277150987
[17] Train-rmse=10.8741734578274
[18] Train-rmse=10.8145230841996
[19] Train-rmse=10.7550974866299
[20] Train-rmse=10.6966125947029
[21] Train-rmse=10.6389594266666
[22] Train-rmse=10.5804802319675
[23] Train-rmse=10.5225741141048
[24] Train-rmse=10.466174399443
[25] Train-rmse=10.4100300546012
[26] Train-rmse=10.3539067038727
[27] Train-rmse=10.2982151340782
[28] Train-rmse=10.242825009402
[29] Train-rmse=10.188070448635
[30] Train-rmse=10.1336088595086
[31] Train-rmse=10.079580267694
[32] Train-rmse=10.0260676517219
[33] Train-rmse=9.97297290718422
[34] Train-rmse=9.92015407724927
[35] Train-rmse=9.86762462732955
[36] Train-rmse=9.81480012229456
[37] Train-rmse=9.76283713327466
[38] Train-rmse=9.71148242325892
[39] Train-rmse=9.66044323418926
[40] Train-rmse=9.60963608291052
[41] Train-rmse=9.55880782622633
[42] Train-rmse=9.5079661680411
[43] Train-rmse=9.45746800083923
[44] Train-rmse=9.40730047001579
[45] Train-rmse=9.35679498944847
[46] Train-rmse=9.30633921360974
[47] Train-rmse=9.25568160011189
[48] Train-rmse=9.20504563101184
[49] Train-rmse=9.15472320740771
[50] Train-rmse=9.10384344461491
[51] Train-rmse=9.05284538547131
[52] Train-rmse=9.0014553137809
[53] Train-rmse=8.94901293699171
[54] Train-rmse=8.89565743188627
[55] Train-rmse=8.84082119963111
[56] Train-rmse=8.7849036500232
[57] Train-rmse=8.72680507086095
[58] Train-rmse=8.66781781172575
[59] Train-rmse=8.60745213292512
[60] Train-rmse=8.54740035515979
[61] Train-rmse=8.48716870851653
[62] Train-rmse=8.42719918890486
[63] Train-rmse=8.36715579146457
[64] Train-rmse=8.30752600486438
[65] Train-rmse=8.24876694168267
[66] Train-rmse=8.18967077876795
[67] Train-rmse=8.13086045890106
[68] Train-rmse=8.0723098446637
[69] Train-rmse=8.01414309447489
[70] Train-rmse=7.95559555024626
[71] Train-rmse=7.89727088676433
[72] Train-rmse=7.83909556785709
[73] Train-rmse=7.78068098580188
[74] Train-rmse=7.72268475035851
[75] Train-rmse=7.66379661115953
[76] Train-rmse=7.60526740670008
[77] Train-rmse=7.54606850080958
[78] Train-rmse=7.48721112820952
[79] Train-rmse=7.42852026819492
[80] Train-rmse=7.37009075923818
[81] Train-rmse=7.31109943014955
[82] Train-rmse=7.25236828838155
[83] Train-rmse=7.19373639092568
[84] Train-rmse=7.1348609703554
[85] Train-rmse=7.07639669343568
[86] Train-rmse=7.01764629122538
[87] Train-rmse=6.95928276585167
[88] Train-rmse=6.90045122679401
[89] Train-rmse=6.84242705948732
[90] Train-rmse=6.7844022609938
[91] Train-rmse=6.72648504753196
[92] Train-rmse=6.66909798140293
[93] Train-rmse=6.61211233391199
[94] Train-rmse=6.55648059687971
[95] Train-rmse=6.50015398974367
[96] Train-rmse=6.44371201424809
[97] Train-rmse=6.38807208630578
[98] Train-rmse=6.332460273758
[99] Train-rmse=6.27579542174769
[100] Train-rmse=6.21911720850465
[101] Train-rmse=6.16184036264588
[102] Train-rmse=6.10464660710398
[103] Train-rmse=6.04730198670288
[104] Train-rmse=5.9892874551351
[105] Train-rmse=5.93270389796897
[106] Train-rmse=5.87697906800596
[107] Train-rmse=5.82132110077774
[108] Train-rmse=5.76687100338611
[109] Train-rmse=5.71225086605218
[110] Train-rmse=5.65876985314694
[111] Train-rmse=5.60544773946256
[112] Train-rmse=5.55248408151367
[113] Train-rmse=5.50045682234735
[114] Train-rmse=5.44912237274858
[115] Train-rmse=5.39763104263419
[116] Train-rmse=5.34745218350856
[117] Train-rmse=5.29768895890052
[118] Train-rmse=5.24876112284189
[119] Train-rmse=5.20035513905569
[120] Train-rmse=5.15304523768823
[121] Train-rmse=5.10664875815863
[122] Train-rmse=5.06039176847694
[123] Train-rmse=5.01513801663933
[124] Train-rmse=4.97073413314782
[125] Train-rmse=4.92673699645714
[126] Train-rmse=4.88428738054168
[127] Train-rmse=4.84163726978734
[128] Train-rmse=4.80018260865455
[129] Train-rmse=4.75987640163121
[130] Train-rmse=4.72011831878177
[131] Train-rmse=4.68124869817273
[132] Train-rmse=4.64305291950838
[133] Train-rmse=4.60523122709314
[134] Train-rmse=4.56845111798563
[135] Train-rmse=4.53251620915745
[136] Train-rmse=4.49711188337616
[137] Train-rmse=4.46268700609284
[138] Train-rmse=4.42905023031348
[139] Train-rmse=4.39598789855085
[140] Train-rmse=4.36400063303836
[141] Train-rmse=4.33215452687968
[142] Train-rmse=4.30145129568783
[143] Train-rmse=4.2706304989463
[144] Train-rmse=4.24099421691763
[145] Train-rmse=4.2121910098147
[146] Train-rmse=4.18433625187332
[147] Train-rmse=4.156210363832
[148] Train-rmse=4.12927702510226
[149] Train-rmse=4.10330751818245
[150] Train-rmse=4.07744167098693
[151] Train-rmse=4.05227332400157
[152] Train-rmse=4.02785769346234
[153] Train-rmse=4.00384685411483
[154] Train-rmse=3.98049955268144
[155] Train-rmse=3.95770447574327
[156] Train-rmse=3.93456994156623
[157] Train-rmse=3.91333675967488
[158] Train-rmse=3.89204284281164
[159] Train-rmse=3.87150728429702
[160] Train-rmse=3.85161932119834
[161] Train-rmse=3.83179606512313
[162] Train-rmse=3.81231025031042
[163] Train-rmse=3.79336236861809
[164] Train-rmse=3.77492732527179
[165] Train-rmse=3.7566847415529
[166] Train-rmse=3.7391170408868
[167] Train-rmse=3.72213469312023
[168] Train-rmse=3.70534950630242
[169] Train-rmse=3.68921458728934
[170] Train-rmse=3.67354623225476
[171] Train-rmse=3.65773307132583
[172] Train-rmse=3.64294909601144
[173] Train-rmse=3.62840065668983
[174] Train-rmse=3.61403887852703
[175] Train-rmse=3.59995750908554
[176] Train-rmse=3.58636825893086
[177] Train-rmse=3.57286644454865
[178] Train-rmse=3.5597297289006
[179] Train-rmse=3.54715248293657
[180] Train-rmse=3.53425828734601
[181] Train-rmse=3.52216456423519
[182] Train-rmse=3.51024267965373
[183] Train-rmse=3.49899574469097
[184] Train-rmse=3.48769943065708
[185] Train-rmse=3.47706051637917
[186] Train-rmse=3.46622955203255
[187] Train-rmse=3.45586968472273
[188] Train-rmse=3.44593821708643
[189] Train-rmse=3.43625968485715
[190] Train-rmse=3.42648427027946
[191] Train-rmse=3.41709769522373
[192] Train-rmse=3.40778146617939
[193] Train-rmse=3.39887014086516
[194] Train-rmse=3.38999870476198
[195] Train-rmse=3.38166037770418
[196] Train-rmse=3.3736473525381
[197] Train-rmse=3.36494595320475
[198] Train-rmse=3.35674829128645
[199] Train-rmse=3.34959207611497
[200] Train-rmse=3.34158974592302
[201] Train-rmse=3.33406069823611
[202] Train-rmse=3.3264150436705
[203] Train-rmse=3.3182336847334
[204] Train-rmse=3.31132858684108
[205] Train-rmse=3.30455116943571
[206] Train-rmse=3.29739447012272
[207] Train-rmse=3.2915224664107
[208] Train-rmse=3.28489949642798
[209] Train-rmse=3.27860703196039
[210] Train-rmse=3.27265750075918
[211] Train-rmse=3.26673704407532
[212] Train-rmse=3.26026838955115
[213] Train-rmse=3.25478486823133
[214] Train-rmse=3.24973451071405
[215] Train-rmse=3.24348375215026
[216] Train-rmse=3.23883408085312
[217] Train-rmse=3.23321861220385
[218] Train-rmse=3.22846687621675
[219] Train-rmse=3.2233988432056
[220] Train-rmse=3.21867458503779
[221] Train-rmse=3.21377649992217
[222] Train-rmse=3.20991543700169
[223] Train-rmse=3.20462312657228
[224] Train-rmse=3.20017877099891
[225] Train-rmse=3.19562230355726
[226] Train-rmse=3.1916789286048
[227] Train-rmse=3.1873847451682
[228] Train-rmse=3.18245818674239
[229] Train-rmse=3.1786585675159
[230] Train-rmse=3.17494614087719
[231] Train-rmse=3.17081768995347
[232] Train-rmse=3.16663088646419
[233] Train-rmse=3.1629299526417
[234] Train-rmse=3.1588155344949
[235] Train-rmse=3.15526730291669
[236] Train-rmse=3.15206889165793
[237] Train-rmse=3.14792125780556
[238] Train-rmse=3.14422614572812
[239] Train-rmse=3.14146974305074
[240] Train-rmse=3.13709962744574
[241] Train-rmse=3.13344307407822
[242] Train-rmse=3.13049179570167
[243] Train-rmse=3.12699761158028
[244] Train-rmse=3.12353698377136
[245] Train-rmse=3.11996986062715
[246] Train-rmse=3.1169708088621
[247] Train-rmse=3.11353670628837
[248] Train-rmse=3.11098013181249
[249] Train-rmse=3.10766343295595
[250] Train-rmse=3.10467990932693
[251] Train-rmse=3.10194544994151
[252] Train-rmse=3.09894238052858
[253] Train-rmse=3.09642912787585
[254] Train-rmse=3.0935321743483
[255] Train-rmse=3.08985527598115
[256] Train-rmse=3.08744141794908
[257] Train-rmse=3.08482995091412
[258] Train-rmse=3.08190991394599
[259] Train-rmse=3.07905940198524
[260] Train-rmse=3.07723202340947
[261] Train-rmse=3.07509350208867
[262] Train-rmse=3.07149568414701
[263] Train-rmse=3.06934285932357
[264] Train-rmse=3.06623730248759
[265] Train-rmse=3.0641490142416
[266] Train-rmse=3.06179470783724
[267] Train-rmse=3.05877569989142
[268] Train-rmse=3.05690711448538
[269] Train-rmse=3.0543620186412
[270] Train-rmse=3.05230201572863
[271] Train-rmse=3.05040474704581
[272] Train-rmse=3.047255912641
[273] Train-rmse=3.04475994022866
[274] Train-rmse=3.0427355514248
[275] Train-rmse=3.04071051337003
[276] Train-rmse=3.03876066864841
[277] Train-rmse=3.03642042835145
[278] Train-rmse=3.03454314308109
[279] Train-rmse=3.03177885350004
[280] Train-rmse=3.03023095489195
[281] Train-rmse=3.0276818085022
[282] Train-rmse=3.0256718542086
[283] Train-rmse=3.02357420934102
[284] Train-rmse=3.02112926305409
[285] Train-rmse=3.01888243809508
[286] Train-rmse=3.01755191781525
[287] Train-rmse=3.01561911852715
[288] Train-rmse=3.01364757340917
[289] Train-rmse=3.01142032984843
[290] Train-rmse=3.00968821828225
[291] Train-rmse=3.00762989414147
[292] Train-rmse=3.00617730041801
[293] Train-rmse=3.00432492451255
[294] Train-rmse=3.00189889294071
[295] Train-rmse=3.00046371614731
[296] Train-rmse=2.99847683118962
[297] Train-rmse=2.99631278523942
[298] Train-rmse=2.99470599010256
[299] Train-rmse=2.99310915851555
[300] Train-rmse=2.99151738432404
[301] Train-rmse=2.99006055910295
[302] Train-rmse=2.98780204142873
[303] Train-rmse=2.986564684522
[304] Train-rmse=2.98481855185227
[305] Train-rmse=2.98306312549128
[306] Train-rmse=2.98073961317601
[307] Train-rmse=2.97924641894809
[308] Train-rmse=2.97804403154432
[309] Train-rmse=2.97621739123319
[310] Train-rmse=2.97453023043664
[311] Train-rmse=2.97288760393703
[312] Train-rmse=2.97129014163336
[313] Train-rmse=2.97003189699459
[314] Train-rmse=2.96775792519436
[315] Train-rmse=2.96641903613189
[316] Train-rmse=2.96526876048593
[317] Train-rmse=2.96348843705927
[318] Train-rmse=2.96167448204689
[319] Train-rmse=2.96094306963462
[320] Train-rmse=2.95936415872002
[321] Train-rmse=2.95714241321544
[322] Train-rmse=2.95579148217041
[323] Train-rmse=2.95444896095053
[324] Train-rmse=2.95265887169919
[325] Train-rmse=2.95136611167283
[326] Train-rmse=2.95039734728381
[327] Train-rmse=2.94909645972355
[328] Train-rmse=2.94785156949962
[329] Train-rmse=2.94611025594764
[330] Train-rmse=2.94476849387235
[331] Train-rmse=2.94394074244549
[332] Train-rmse=2.94243212932464
[333] Train-rmse=2.94089839534516
[334] Train-rmse=2.93965323964317
[335] Train-rmse=2.9384588692547
[336] Train-rmse=2.9367090501353
[337] Train-rmse=2.93567970704638
[338] Train-rmse=2.93414795471096
[339] Train-rmse=2.93282975732915
[340] Train-rmse=2.93165156301055
[341] Train-rmse=2.93040871377203
[342] Train-rmse=2.92875594564799
[343] Train-rmse=2.92816311886629
[344] Train-rmse=2.926650475668
[345] Train-rmse=2.92513113711784
[346] Train-rmse=2.92390452755484
[347] Train-rmse=2.92291423527875
[348] Train-rmse=2.92128737365379
[349] Train-rmse=2.92041285589111
[350] Train-rmse=2.91891287857081
[351] Train-rmse=2.91806790081778
[352] Train-rmse=2.91688897068344
[353] Train-rmse=2.9158601470156
[354] Train-rmse=2.9146541515269
[355] Train-rmse=2.91357722056755
[356] Train-rmse=2.91230784011966
[357] Train-rmse=2.91100316820581
[358] Train-rmse=2.91025694034794
[359] Train-rmse=2.90971214739606
[360] Train-rmse=2.90820016056973
[361] Train-rmse=2.90705576628897
[362] Train-rmse=2.90597558940612
[363] Train-rmse=2.9046866942808
[364] Train-rmse=2.90376403653274
[365] Train-rmse=2.90267046929615
[366] Train-rmse=2.90183319325094
[367] Train-rmse=2.90100520515504
[368] Train-rmse=2.90004975686345
[369] Train-rmse=2.89912181118045
[370] Train-rmse=2.89809600341903
[371] Train-rmse=2.89682160781243
[372] Train-rmse=2.89578113960504
[373] Train-rmse=2.89488040616081
[374] Train-rmse=2.89398218252812
[375] Train-rmse=2.89287377169397
[376] Train-rmse=2.8922596255947
[377] Train-rmse=2.89120662331452
[378] Train-rmse=2.89041679293683
[379] Train-rmse=2.88946984682042
[380] Train-rmse=2.88881328456696
[381] Train-rmse=2.88825294625619
[382] Train-rmse=2.88698503012002
[383] Train-rmse=2.88637901881654
[384] Train-rmse=2.88541564205664
[385] Train-rmse=2.88432040389948
[386] Train-rmse=2.88374885981478
[387] Train-rmse=2.88316951881767
[388] Train-rmse=2.88235792460689
[389] Train-rmse=2.881846094586
[390] Train-rmse=2.88073303698281
[391] Train-rmse=2.88008036509267
[392] Train-rmse=2.87899901972332
[393] Train-rmse=2.87842801250609
[394] Train-rmse=2.87832458595429
[395] Train-rmse=2.87726434729006
[396] Train-rmse=2.87693593972251
[397] Train-rmse=2.87613400591498
[398] Train-rmse=2.87533028772787
[399] Train-rmse=2.87452289920225
[400] Train-rmse=2.87390922214223
[401] Train-rmse=2.87318354480453
[402] Train-rmse=2.87306414402479
[403] Train-rmse=2.87199589193096
[404] Train-rmse=2.87132895460153
[405] Train-rmse=2.87085811529626
[406] Train-rmse=2.87018758697498
[407] Train-rmse=2.86921415036406
[408] Train-rmse=2.86929570308646
[409] Train-rmse=2.868650540538
[410] Train-rmse=2.86837598544663
[411] Train-rmse=2.86778264225628
[412] Train-rmse=2.8672961189132
[413] Train-rmse=2.86703810791109
[414] Train-rmse=2.86645009227538
[415] Train-rmse=2.8660195496151
[416] Train-rmse=2.86599956847094
[417] Train-rmse=2.86514315777389
[418] Train-rmse=2.86510984897629
[419] Train-rmse=2.86421521680014
[420] Train-rmse=2.86386402153923
[421] Train-rmse=2.86345666104257
[422] Train-rmse=2.86340309539034
[423] Train-rmse=2.86265986603354
[424] Train-rmse=2.86250505233474
[425] Train-rmse=2.86238462033405
[426] Train-rmse=2.86204687202649
[427] Train-rmse=2.86174992517858
[428] Train-rmse=2.8616136834458
[429] Train-rmse=2.86097989558398
[430] Train-rmse=2.86107381478683
[431] Train-rmse=2.86101540275756
[432] Train-rmse=2.86109011819562
[433] Train-rmse=2.86054739020285
[434] Train-rmse=2.86046167938467
[435] Train-rmse=2.86074830986408
[436] Train-rmse=2.86047299065481
[437] Train-rmse=2.86015788213382
[438] Train-rmse=2.86032756006135
[439] Train-rmse=2.86079584548436
[440] Train-rmse=2.8605440444886
[441] Train-rmse=2.86059402032437
[442] Train-rmse=2.86026795339975
[443] Train-rmse=2.85988232386287
[444] Train-rmse=2.85980666810598
[445] Train-rmse=2.86075774266611
[446] Train-rmse=2.86079526725983
[447] Train-rmse=2.86054871263583
[448] Train-rmse=2.85987155003141
[449] Train-rmse=2.85984493201796
[450] Train-rmse=2.85998491994462
[451] Train-rmse=2.86010527482114
[452] Train-rmse=2.86133604367198
[453] Train-rmse=2.860892010099
[454] Train-rmse=2.86082614214339
[455] Train-rmse=2.86179513007479
[456] Train-rmse=2.86146720345908
[457] Train-rmse=2.86185164921079
[458] Train-rmse=2.86214136233406
[459] Train-rmse=2.86305729575267
[460] Train-rmse=2.86333432292448
[461] Train-rmse=2.8638688219696
[462] Train-rmse=2.86385991417368
[463] Train-rmse=2.86506060864812
[464] Train-rmse=2.86424525428681
[465] Train-rmse=2.86682549726577
[466] Train-rmse=2.86626954306459
[467] Train-rmse=2.86758203048606
[468] Train-rmse=2.867981762823
[469] Train-rmse=2.86866899201854
[470] Train-rmse=2.86970836903173
[471] Train-rmse=2.87116374781676
[472] Train-rmse=2.87189410352579
[473] Train-rmse=2.871830818228
[474] Train-rmse=2.87342963962735
[475] Train-rmse=2.87459028334376
[476] Train-rmse=2.87729134579734
[477] Train-rmse=2.87831119031232
[478] Train-rmse=2.87854345528466
[479] Train-rmse=2.88040853783924
[480] Train-rmse=2.88239866567666
[481] Train-rmse=2.88543744426166
[482] Train-rmse=2.88672916514604
[483] Train-rmse=2.88693607933587
[484] Train-rmse=2.89096184731719
[485] Train-rmse=2.89141091943458
[486] Train-rmse=2.8933271194877
[487] Train-rmse=2.8967698969176
[488] Train-rmse=2.89834866483835
[489] Train-rmse=2.90262074728403
[490] Train-rmse=2.90349393025548
[491] Train-rmse=2.90708825120472
[492] Train-rmse=2.90795795667483
[493] Train-rmse=2.91265736759346
[494] Train-rmse=2.91604507319963
[495] Train-rmse=2.91795063443142
[496] Train-rmse=2.9210290693613
[497] Train-rmse=2.9234494738824
[498] Train-rmse=2.92496906053144
[499] Train-rmse=2.92849170666309
[500] Train-rmse=2.93165409820446
[1] Finished training model for kp : 
[1]  1  2  3  4 21 22 29 30
Time difference of 20.88385 mins
[1] Formating submission
[1] Saving predictions
[1] Saved file :./submissions/sub_modelDoubleConvNN-Tue Jul 12 11:16:36 2016.csv
[1] "Tue Jul 12 11:16:36 2016"
[1] Done.
